"year","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H13","H14","H15","H17","H18","H19","H20a","H21a","H20b","H21b"
1980,NA,6.1435,6.5381,43.9817857142857,-0.02769525,0.00125102642857143,5.47457142857143,-0.005942,0.000636764285714286,3.22760714285714,-0.0153257428571429,0.00124276571428571,7.3875,-0.0433539677419355,0.000942029032258065,6.60241935483871,0.00335777777777778,0.00471811111111111,0.0169592074074074,-0.00257657037037037
1981,4.28604347826087,6.14837837837838,6.528,38.4091111111111,-0.0233299111111111,-0.00124936555555556,5.46717777777778,0.00222277777777778,-0.000338389777777778,3.2464,-0.0122186717391304,0.0039982347826087,8.63155555555556,-0.0226518666666667,-0.00261484,7.15266666666667,-0.00398766666666667,0.00788811666666667,0.0243073574074074,-0.00283413703703704
1982,4.22395652173913,5.94497368421053,6.29336842105263,36.6062222222222,-0.0104990444444444,0.000476424444444444,4.96742222222222,0.00784057333333333,0.000419911111111111,3.03573333333333,-0.0272427260869565,0.00220708043478261,7.06151111111111,-0.00244507666666667,-0.0033213,5.80233333333333,-0.00359562264150943,0.00844948433962264,0.0155457735849057,-0.00150907547169811
1983,4.46610869565217,6.72365789473684,7.20442105263158,41.2448888888889,0.0728055555555556,-0.00348792666666667,6.19368888888889,0.0167514888888889,-0.00168670711111111,3.87048888888889,-0.0103951511111111,0.011425,7.77555555555556,-0.0234703548387097,-0.00211282225806452,7.00193548387097,0.000726871698113208,0.00486171320754717,0.0112591773584906,-0.00146554188679245
1984,5.37502173913043,5.87784210526316,6.30847368421053,39.0967391304348,-0.0462018043478261,0.00106043043478261,5.37763043478261,-0.0163691043478261,0.000878600304347826,3.03052173913043,-0.029408,0.00451089565217391,7.4450652173913,-0.0206161333333333,0.000508371,6.3211,-0.00356721296296296,0.00732566111111111,0.0105730185185185,-0.000541312962962963
1985,4.53989130434783,5.94976315789474,6.27231578947368,38.8231111111111,-0.0369367688888889,0.00200365822222222,4.6734,0.00493794,0.000310825333333333,2.94275555555556,-0.0446834347826087,-0.0022932347826087,6.65791111111111,-0.0447005,-0.002485428,5.6006,-0.015441658490566,0.0122451320754717,0.00333449679245283,0.000475466037735849
1986,4.77878260869565,6.09097368421053,6.50018421052632,36.8715555555556,-0.00246893333333333,-0.000340554222222222,4.87975555555556,-0.0137318422222222,0.000387880222222222,3.191,-0.0111760711111111,0.00414510288888889,6.66388888888889,0.00690379677419355,-0.00238087419354839,6.12422580645161,-0.0146476226415094,0.012496,0.00179899811320755,0.000629056603773585
1987,4.62702173913044,6.32526315789474,6.73281578947368,33.8480434782609,0.00236139130434783,-0.000776901956521739,5.29508695652174,-0.00322354130434783,1.1329347826087e-05,3.41641304347826,-0.0189605333333333,0.00350617777777778,7.3595652173913,-0.000271096774193548,-0.00489854516129032,6.32493548387097,-0.0115707574074074,0.0106534598148148,0.00301629074074074,0.000112661111111111
1988,4.8990652173913,6.11713157894737,6.5593947368421,36.7115555555556,-0.000535866666666667,-0.000346842222222222,5.21104444444444,-0.000192846666666667,0.000443569111111111,3.27766666666667,-0.0167899808695652,0.00315399347826087,6.91868888888889,-0.0040038,-0.00305932666666667,5.88086666666667,-0.00739751320754717,0.00846355283018868,0.00893157528301887,-0.000444801886792453
1989,4.39567391304348,6.02905263157895,6.35586842105263,38.0277777777778,0.0061194,-0.000277224444444444,4.62871111111111,0.00895491111111111,-4.30437777777778e-05,3.06013333333333,0.0162952222222222,-0.00228006888888889,6.3176,0.0435077419354839,-0.00528508709677419,5.65787096774194,0.00385758490566038,0.0053727320754717,0.0129382075471698,-0.001796
1990,4.60882608695652,6.31152631578947,6.6681052631579,37.2571739130435,0.0313409782608696,-0.00153314586956522,4.97636956521739,0.0180596956521739,-0.00130920891304348,3.40367391304348,0.0141696177777778,-3.32955555555556e-05,6.5419347826087,0.0173097741935484,-0.00353262258064516,5.60858064516129,-0.00325384814814815,0.00672427222222222,0.00614377777777778,-0.000590325
1991,4.95886956521739,6.02689189189189,6.39383783783784,36.7113333333333,0.0220312222222222,-0.000411604444444444,4.59893333333333,0.00245697777777778,-0.000227175555555556,3.07028888888889,0.00244290869565217,-0.00311079347826087,6.39691111111111,0.000399133333333333,-0.007822,5.26483333333333,-0.00435782777777778,0.00825462037037037,0.00477807962962963,9.83581481481482e-05
