"year","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H13","H14","H15","H17","H18","H19","H20a","H21a","H20b","H21b"
1980,NA,122.87,130.762,1231.49,-0.775467,0.03502874,153.288,-0.166376,0.0178294,90.373,-0.536401,0.0434968,206.85,-1.343973,0.0292029,204.675,0.18132,0.254778,0.9157972,-0.1391348
1981,197.158,227.49,241.536,1728.41,-1.049846,-0.05622145,246.023,0.100025,-0.01522754,146.088,-0.5620589,0.1839188,388.42,-0.679556,-0.0784452,214.58,-0.215334,0.4259583,1.3125973,-0.1530434
1982,194.302,225.909,239.148,1647.28,-0.472457,0.0214391,223.534,0.3528258,0.018896,136.608,-1.2531654,0.1015257,317.768,-0.0733523,-0.099639,174.07,-0.190568,0.44782267,0.823926,-0.079981
1983,205.441,255.499,273.768,1856.02,3.27625,-0.1569567,278.716,0.753817,-0.07590182,174.172,-0.4677818,0.514125,349.9,-0.727581,-0.06549749,217.06,0.0385242,0.2576708,0.5967364,-0.07767372
1984,247.251,223.358,239.722,1798.45,-2.125283,0.0487798,247.371,-0.7529788,0.040415614,139.404,-1.352768,0.2075012,342.473,-0.618484,0.01525113,189.633,-0.1926295,0.3955857,0.570943,-0.0292309
1985,208.835,226.091,238.348,1747.04,-1.6621546,0.09016462,210.303,0.2222073,0.01398714,132.424,-2.055438,-0.1054888,299.606,-1.341015,-0.07456284,168.018,-0.8184079,0.648992,0.17672833,0.0251997
1986,219.824,231.457,247.007,1659.22,-0.111102,-0.01532494,219.589,-0.6179329,0.01745461,143.595,-0.5029232,0.18652963,299.875,0.2140177,-0.0738071,189.851,-0.776324,0.662288,0.0953469,0.03334
1987,212.843,240.36,255.847,1557.01,0.108624,-0.03573749,243.574,-0.1482829,0.00052115,157.155,-0.853224,0.157778,338.54,-0.00840399999999999,-0.1518549,196.073,-0.6248209,0.57528683,0.1628797,0.0060837
1988,225.357,232.451,249.257,1652.02,-0.024114,-0.0156079,234.497,-0.0086781,0.01996061,147.495,-0.77233912,0.1450837,311.341,-0.120114,-0.0917798,176.426,-0.3920682,0.4485683,0.47337349,-0.0235745
1989,202.201,229.104,241.523,1711.25,0.275373,-0.0124751,208.292,0.402971,-0.00193697,137.706,0.733285,-0.1026031,284.292,1.34874,-0.1638377,175.394,0.204452,0.2847548,0.685725,-0.095188
1990,212.006,239.838,253.388,1713.83,1.441685,-0.07052471,228.913,0.830746,-0.06022361,156.569,0.6376328,-0.0014983,300.929,0.536603,-0.1095113,173.866,-0.1757078,0.3631107,0.331764,-0.03187755
1991,228.108,222.995,236.572,1652.01,0.991405,-0.0185222,206.952,0.110564,-0.0102229,138.163,0.1123738,-0.1430965,287.861,0.011974,-0.23466,157.945,-0.2353227,0.4457495,0.2580163,0.00531134
1992,209.228,249.724,266.023,1396.88,3.04877807,-0.14106948,245.561,0.5334587,-0.0740911,167.844,0.1360926,0.3809652,334.79,-1.16336,-0.036787,219.048,-0.03185393,0.30627115,0.207395,-0.01450108
1993,246.885,232.267,250.072,1819.51,1.415271,0.00150742,245.819,-0.503245,0.0213995,152.642,1.62806561,0.709127,323.562,-0.3798162,0.335202,191.615,0.2685343,0.19367997,0.637989,-0.0851272
1994,230.123,232.361,247.348,1850.77,2.569473,-0.04459287,239.242,1.1720325,-0.063859034,151.662,0.806102,0.440255,322.244,-0.2487902,0.0793939,187.598,0.34325189,0.2337993,0.91659454,-0.120759381
1995,221.323,244.484,262.781,2042.54,3.1173082,-0.1193231,251.988,0.211272,-0.06136817,162.635,1.734619,0.926743,313.32,-1.108331,0.2116353,174.389,-0.1076122,0.28999733,0.593742,-0.0947944
1996,220.372,230.597,246.085,1751.73,1.105653,-0.09885946,250.127,-0.038383,-0.03358765,146.663,2.02974722,0.781071,360.23,-0.053014,0.0936153,197.498,0.4063493,0.1845591,0.7815973,-0.1074879
1997,220.845,229.583,243.429,1668.24,0.976469,-0.05335373,230.397,0.7282465,-0.0606101,146.183,1.4231416,0.5049601,318.592,0.208134,0.1215853,191.834,0.405577,0.1310199,1.0385817,-0.20082317
1998,255.921,247.363,270.91,2508.29,1.866068,-0.0800001,303.633,0.033896,-0.041276053,176.569,0.631306,0.81755514,376.39,-2.010561,0.0970515,207.37,0.284909,0.19971259,0.8964528,-0.123977
1999,235.548,222.883,237.155,2082.61,-0.02725,-0.0685831,216.413,-0.2717925,0.0014631,132.188,0.83723402,0.58045528,293.095,0.341679,0.148725,167.059,0.375508,0.2135179,0.9502069,-0.11035878
2000,198.457,231.796,246.734,2064.06,0.593902,-0.01420325,236.222,0.120493,-0.01697608,146.174,1.416575,0.4715827,324.154,0.062773,0.02389424,175.238,0.381506,0.1750163,0.98224,-0.1379011
2001,211.698,232.976,246.112,1668.08,1.1843421,-0.0314642,212.9,0.5483006,-0.03757805,140.432,0.7936145,0.1956326,291.57,0.0691766,0.0060069,160.256,0.282597,0.2451937,1.112823,-0.1678077
2002,179.297,217.879,230.553,1839.04,1.8820446,-0.03415705,204.601,1.094851,-0.06861346,125.915,0.389135,0.0797823,293.142,-1.076259,-0.0932565,169.392,1.5181507,-0.0996421,2.311718,-0.2999255
2003,189.515,230.498,245.987,2031.18,0.645487,-0.06688396,249.615,0.3473617,-0.045813295,144.429,0.7281643,0.8004701,354.24,-0.8379877,0.1311021,198.134,0.911715,0.0381756,1.3461843,-0.1880679
2004,196.725,222.176,236.633,1912.52,0.70783,-0.01814939,233.528,0.395902,-0.02386851,133.187,0.768667,0.450495,334.205,-0.374604,0.0471631,196.834,0.51745015,0.139449,0.9277737,-0.12877227
2005,218.505,235.061,251.647,1884.4,2.8655875,-0.0809987,248.372,0.807957,-0.0593044,151.001,0.8101751,0.3607238,327.299,-0.007156,0.1863019,203.486,0.279986,0.169928964,0.703766,-0.1004413
2006,231.307,217.061,233.773,2211.54,-0.066596,-0.0371504,243.692,-0.7222648,-0.0021391,135.294,1.553744,0.6196444,336.348,0.49555,0.00557308999999999,201.792,0.2793956,0.2222297,0.9307278,-0.10440349
2007,214.255,228.602,243.51,2027.93,0.793727,1.00000000000001e-05,233.087,0.916462,-0.0658723,145.231,0.304317,0.3296137,300.129,-0.382866,0.0267168,174.401,1.1992706,-0.0656442,1.6375325,-0.2400912
2008,210.412,222.348,236.331,2117.74,0.8588032,0.03259616,208.502,0.4416579,-0.0044895,129.162,0.378125,0.1860252,270.312,-0.5874558,-0.00672219,160.999,1.6526623,-0.133716,2.499783,-0.2849118
2009,173.22,229.082,242.43,1982.11,1.659144,-0.03265372,217.258,1.3032106,-0.05375245,137.959,0.650684,-0.1440208,290.868,0.379693,-0.2097294,168.263,0.939425,0.03796164,1.4881941,-0.18889393
2010,193.441,217.603,233.508,2271.17,0.422919,-0.0899864,240.01,0.082344,-0.07172017,137.108,1.8064449,0.886859,317.387,-0.6022361,0.132207,177.627,1.7691792,-0.1679966,2.274549,-0.267847
2011,176.368,227.65935,241.330325,1434.85333333333,1.60352783333333,-0.0798179666666667,233.596908333333,0.804294166666667,-0.0531659213333333,142.0247,1.89064583333333,0.567554166666667,314.435008333333,0.429805833333333,0.0953866666666667,244.337816666667,1.19330166666667,-0.0532,4.08250583333333,-0.6549825
